"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Sarafidis P.A.; Loutradis C.; Karpetas A.; Tzanis G.; Bikos A.; Raptis V.; Syrgkanis C.; Liakopoulos V.; Papagianni A.; Bakris G.; Parati G.","Sarafidis, Pantelis A. (23987250400); Loutradis, Charalampos (56964339100); Karpetas, Antonios (55862695000); Tzanis, Georgios (57130727700); Bikos, Athanasios (56396964000); Raptis, Vassilios (56585870400); Syrgkanis, Christos (57194498754); Liakopoulos, Vassilios (26642949500); Papagianni, Aikaterini (6602380676); Bakris, George (35371943700); Parati, Gianfranco (57214358986)","23987250400; 56964339100; 55862695000; 57130727700; 56396964000; 56585870400; 57194498754; 26642949500; 6602380676; 35371943700; 57214358986","The association of interdialytic blood pressure variability with cardiovascular events and all-cause mortality in haemodialysis patients","2019","Nephrology Dialysis Transplantation","34","3","","515","523","8","38","10.1093/ndt/gfy247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055550261&doi=10.1093%2fndt%2fgfy247&partnerID=40&md5=ad310af300d0b156bb5e5175a1f8c815","Background. Long-term pre-dialysis blood pressure variability (BPV) in haemodialysis patients is associated with increased cardiovascular risk. The association of the main haemodynamic culprit in dialysis, that is, short-term BPV, with outcomes has not been investigated. We examine the prognostic role of short-term BPV for mortality and cardiovascular events in this population. Methods. A total of 227 haemodialysis patients underwent 44-h ambulatory monitoring during a standard interval and were followed-up for 30.17 ± 17.70 months. We calculated SD, weighted SD (wSD), coefficient of variation (CV) and average real variability (ARV) of BP with validated formulas. The primary endpoint was first occurrence of all-cause death, non-fatal myocardial infarction or non-fatal stroke. Secondary endpoints were: (i) all-cause mortality, (ii) cardiovascular mortality and (iii) a combination of cardiovascular events. Results. Cumulative freedom from the primary endpoint was similar for quartiles of pre-dialysis and 44-h systolic BP (SBP), but was progressively longer for increasing quartiles of 44-h SBP-SD (P = 0.014), wSD (P = 0.007), CV (P = 0.031) and ARV (83.9, 71.9, 70.2 and 43.9% for quartiles 1-4; P < 0.001). Higher quartiles of 44-h SBP-ARV were associated with higher risk of all studied outcomes. Among diastolic BPV indices, 44-h diastolic BP (DBP)-CV and 44-h DBP-ARV were associated with increased risk for the composite cardiovascular outcome. In Cox regression analysis, SBP-BPV was related to the primary endpoint, independently of SBP levels and interdialytic weight gain [ARV: hazard ratio (HR) 1.115, 95% confidence interval (95% CI) 1.048-1.185]. This association become insignificant after adjustment for pulse wave velocity (PWV; HR 1.061, 95% CI 0.989-1.137), and further attenuated after additional adjustment for age, dialysis vintage, gender, comorbidities and prevalent cardiovascular disease (HR 1.031, 95% CI 0.946-1.122). Conclusions. Increased BPV during the interdialytic interval is associated with higher risk of death and cardiovascular events, whereas ambulatory BP levels are not. This association was not independent after adjustment for PWV, other risk factors and prevalent cardiovascular disease. Short-term BPV could be a mediator promoting the adverse cardiovascular profile of haemodialysis patients. © 2018 The Author(s).","ambulatory blood pressure monitoring; blood pressure variability; cardiovascular events; haemodialysis; mortality","Blood Pressure; Blood Pressure Monitoring, Ambulatory; Cardiovascular Diseases; Cause of Death; Female; Humans; Male; Middle Aged; Prognosis; Prospective Studies; Pulse Wave Analysis; Renal Dialysis; Risk Factors; Survival Rate; Time Factors; adult; age; all cause mortality; ambulatory monitoring; Article; blood pressure variability; cardiovascular disease; cardiovascular mortality; cerebrovascular accident; cohort analysis; comorbidity; diastolic blood pressure; female; follow up; gender; heart infarction; hemodialysis patient; human; major clinical study; male; middle aged; outcome assessment; prevalence; priority journal; prognosis; prospective study; pulse wave; risk factor; systolic blood pressure; adverse event; blood pressure; blood pressure monitoring; cardiovascular disease; cause of death; hemodialysis; mortality; physiology; survival rate; time factor","Article","Final","","Scopus","2-s2.0-85055550261"
"Cai L.; Huang J.; Gao D.; Zeng S.; Tang S.; Chang Z.; Wen C.; Zhang M.; Hu M.; Wei G.-X.","Cai, Li (57289184700); Huang, Junhao (56046076700); Gao, Dongdong (57192314967); Zeng, Shujuan (57289703300); Tang, Songxin (57288681000); Chang, Zhengxiao (57289353100); Wen, Caosheng (57289353200); Zhang, Meina (57289703400); Hu, Min (57199089501); Wei, Gao-Xia (29967517600)","57289184700; 56046076700; 57192314967; 57289703300; 57288681000; 57289353100; 57289353200; 57289703400; 57199089501; 29967517600","Effects of mind-body practice on arterial stiffness, central hemodynamic parameters and cardiac autonomic function of college students","2021","Complementary Therapies in Clinical Practice","45","","101492","","","","6","10.1016/j.ctcp.2021.101492","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116659890&doi=10.1016%2fj.ctcp.2021.101492&partnerID=40&md5=d115a7b2fc07276cce91103740c75f31","A substantial number of studies have shown the beneficial effects of mind-body practice on physical fitness among both the healthy middle-aged and elderly adults and patients with chronic diseases. However, its positive effects on college students remain poorly understood. This study aimed to systematically investigate the potential efficiency of the Baduanjin exercise on the maintenance of the homeostasis of body composition and the improvement of the cardiovascular function of the college students. The study revealed a promising efficacy of the Baduanjin exercise in the prevention of the loss of water, inorganic salts, protein, and muscle contents and the accumulation of body fat. Furthermore, the present study also demonstrated the positive efficacy of Baduanjin exercise in decreasing of peripheral and central arterial blood pressure and carotid and femoral artery pulse wave velocity (cfPWV) of the college students. Moreover, the heart rate variability (HRV) analysis was also performed using the assessment of time and frequency domain indices. The data showed that all of the time-domain indices and the high-frequency (HF) band of the HRV relatively increased, whereas the low-frequency (LF) band of the HRV relatively decreased after the long-term Baduanjin exercise. Collectively, the present study suggested that a 12-week Baduanjin exercise could maintain the body composition in a relatively healthy and stable range and improve blood pressure, central hemodynamics, and the arterial stiffness of the college students. The underlying mechanism might be due to the improvement of parasympathetic activity and the suppression of sympathetic activity of college students via Baduanjin exercise. © 2021","Autonomic nervous regulation; Body composition; Cardiovascular function; Mind-body practice","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85116659890"
"Bakkar N.-M.Z.; El-Yazbi A.F.; Zouein F.A.; Fares S.A.","Bakkar, Nour-Mounira Z. (57205738822); El-Yazbi, Ahmed F. (11240437000); Zouein, Fouad A. (36142496300); Fares, Souha A. (56223949900)","57205738822; 11240437000; 36142496300; 56223949900","Beat-to-beat blood pressure variability: An early predictor of disease and cardiovascular risk","2021","Journal of Hypertension","39","5","","830","845","15","19","10.1097/HJH.0000000000002733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104046623&doi=10.1097%2fHJH.0000000000002733&partnerID=40&md5=ddc2934fd7d0164aa1aaeb262d71b72a","Blood pressure (BP) varies on the long, short and very-short term. Owing to the hidden physiological and pathological information present in BP time-series, increasing interest has been given to the study of continuous, beat-to-beat BP variability (BPV) using invasive and noninvasive methods. Different linear and nonlinear parameters of variability are employed in the characterization of BP signals in health and disease. Although linear parameters of beat-to-beat BPV are mainly measures of dispersion, such as standard deviation (SD), nonlinear parameters of BPV quantify the degree of complexity/irregularity-using measures of entropy or self-similarity/correlation. In this review, we summarize the value of linear and nonlinear parameters in reflecting different information about the pathophysiology of changes in beat-to-beat BPV independent of or superior to mean BP. We then provide a comparison of the relative power of linear and nonlinear parameters of beat-to-beat BPV in detecting early and subtle differences in various states. The practical advantage and utility of beat-to-beat BPV monitoring support its incorporation into routine clinical practices. © 2021 Lippincott Williams and Wilkins. All rights reserved.","blood pressure variability; complexity; detrended fluctuation analysis; linear variability parameters; nonlinear variability parameters","Arterial Pressure; Blood Pressure; Cardiovascular Diseases; Heart Disease Risk Factors; Humans; Risk Factors; albumin to creatinine ratio; arterial pulse wave velocity; arterial stiffness; artery compliance; autonomic dysfunction; blood pressure monitoring; blood pressure variability; cardiovascular disease; cardiovascular response; cardiovascular risk; cardiovascular surgery; cerebrovascular accident; diabetes mellitus; diastolic blood pressure; diet; EuroSCORE; faintness; heart left ventricle mass; hemodynamic parameters; human; hypertension; mean arterial pressure; metabolic syndrome X; peripheral arterial tonometry; photoelectric plethysmography; prediction; pulse transit time; Review; risk assessment; Society of Thoracic Surgeons score; systolic blood pressure; time series analysis; transient ischemic attack; arterial pressure; blood pressure; cardiovascular disease; risk factor","Review","Final","","Scopus","2-s2.0-85104046623"
"Hu G.; Chen M.; Wang X.; Chen L.; Wang W.","Hu, Guoqiang (57360559600); Chen, Minjuan (57195608181); Wang, Xiaodan (57190075034); Chen, Lingyang (57202348518); Wang, Weijian (36112094100)","57360559600; 57195608181; 57190075034; 57202348518; 36112094100","The key role of pulse wave transit time to predict blood pressure variation during anaesthesia induction","2021","Journal of International Medical Research","49","11","","","","","0","10.1177/03000605211058380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120493912&doi=10.1177%2f03000605211058380&partnerID=40&md5=ca2a2d6add773462c9691db7437d067f","Objective: To establish the relationship between pulse wave transit time (PWTT) before anaesthesia induction and blood pressure variability (BPV) during anaesthesia induction. Methods: This prospective observational cohort study enrolled consecutive patients that underwent elective surgery. Invasive arterial pressure, electrocardiography, pulse oximetry, heart rate and bispectral index were monitored. PWTT and BPV were measured with special software. Anaesthesia was induced with propofol, sufentanil and rocuronium. Results: A total of 54 patients were included in this study. There was no correlation between BPV and the dose of propofol, sufentanil and rocuronium during anaesthesia induction. Bivariate linear regression analysis demonstrated that PWTT (r = –0.54), age (r = 0.34) and systolic blood pressure (r = 0.31) significantly correlated with systolic blood pressure variability (SBPV). Only PWTT (r = –0.38) was significantly correlated with diastolic blood pressure variability (DBPV). Patients were stratified into high PWTT and low PWTT groups according to the mean PWTT value (96.8 ± 17.2 ms). Compared with the high PWTT group, the SBPV of the low PWTT group increased significantly by 3.4%. The DBPV of the low PWTT group increased significantly by 2.1% compared with the high PWTT group. Conclusions: PWTT, assessed before anaesthesia induction, may be an effective predictor of haemodynamic fluctuations during anaesthesia induction. © The Author(s) 2021.","anaesthesia induction; blood pressure variation; Pulse wave transit time","Anesthesia, General; Blood Pressure; Blood Pressure Monitoring, Ambulatory; Humans; Prospective Studies; Pulse Wave Analysis; propofol; rocuronium; sufentanil; adult; aged; anesthesia induction; arterial pressure; arterial stiffness; Article; atherosclerosis; bispectral index; blood pressure variability; cohort analysis; controlled study; correlational study; coughing; diabetes mellitus; diastolic blood pressure variability; difficult intubation; disease association; drug dose titration; elective surgery; electrocardiography; female; heart rate; human; hypertension; major clinical study; male; observational study; prediction; predictor variable; prospective study; pulse oximetry; pulse wave; pulse wave transit time; single drug dose; systolic blood pressure; systolic blood pressure variability; blood pressure; blood pressure monitoring; general anesthesia","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85120493912"
"Burumbayeva M.; Mussina A.; Suleimenov R.; Tebenova K.; Alshynbekova G.; Kulov A.","Burumbayeva, Meruyert (57201580030); Mussina, Aiman (6602649365); Suleimenov, Rosa (57209238445); Tebenova, Karlygash (6508039566); Alshynbekova, Gulnaziya (57191073992); Kulov, Abdrakhman (57201580188)","57201580030; 6602649365; 57209238445; 6508039566; 57191073992; 57201580188","Status of heart rate variability and hemodynamic parameters of women-teachers according to age","2018","Annals of Tropical Medicine and Public Health","","2.2 Special Issue","","SP39","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066947552&partnerID=40&md5=3cc81ec2668b01b653cc542adff2089c","The aim of this study is to examine the state of heart rate variabi l ity and hemodynamic of women-teachers working in Astana secondary schools, depending on age, whose length of time worked is more than 20 years. The study showed that with age there is a gradual decrease in involuntary nervous system influences on the heart rate, reduction in the activity of parasympathetic autonomic nervous system, increase the stress of regulatory systems. Women of 55-59 years old had definite stress of regulatory systems signi ficantly higher statistical ly. Also there was detected a trend toward improvement in systol ic, diastol ic, average and pulse pressure values at the age of 40 to 59 years old. Women-teachers of 60 years and older had lower values of heart rate variabi l ity and integrated hemodynamic parameters associated with a reduction in the influence of rate sympathetic regulation and a decrease in basal metabol ism. © 2018 Wolters Kluwer Medknow Publications. All rights reserved.","heart rate variability; Hemodynamics; The index of functional changes; The index of regulatory systems activity; Women-teachers","adult; article; autonomic nervous system; controlled study; female; heart rate variability; high school; human; middle aged; pulse pressure; stress; teacher","Article","Final","","Scopus","2-s2.0-85066947552"
"Au J.S.; Bochnak P.A.; Valentino S.E.; Cheng J.L.; Stöhr E.J.; MacDonald M.J.","Au, Jason S. (56730172900); Bochnak, Paula A. (57196473859); Valentino, Sydney E. (57194519304); Cheng, Jem L. (57192594528); Stöhr, Eric J. (36988803000); MacDonald, Maureen J. (34971710200)","56730172900; 57196473859; 57194519304; 57192594528; 36988803000; 34971710200","Cardiac and haemodynamic influence on carotid artery longitudinal wall motion","2018","Experimental Physiology","103","1","","141","152","11","13","10.1113/EP086621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033440294&doi=10.1113%2fEP086621&partnerID=40&md5=6631f0e3997ddace55ccc6f6667b2bb8","New Findings: What is the central question of this study? Carotid artery longitudinal wall motion (CALM) is a bidirectional forward and backward motion of the arterial wall; however, there is no evidence in humans for what controls CALM despite proposals for pulse pressure, left ventricular motion and shear rate. What is the main finding and its importance? Carotid artery longitudinal wall motion responses were heterogeneous when manipulating sympathetic activation and endothelium-independent vasodilatation, leading to non-significant group responses. However, individual CALM responses were associated with left ventricular rotation and shear rate. These findings are important when interpreting changes in CALM in humans with acute or chronic experimental designs. Carotid artery longitudinal wall motion (CALM) has recently attracted interest as an indicator of arterial health; however, the regulation of CALM is poorly understood. We conducted a series of studies aimed at manipulating pulse pressure (PP), left ventricular (LV) motion and carotid shear rate, which have been previously suggested to regulate various components of CALM pattern and magnitude. To determine the regulatory influences on CALM, 15 healthy men (22 ± 2 years old) were exposed to three acute interventions: the serial subtraction test (SST); the cold pressor test (CPT); and exposure to sublingual nitroglycerine (NTG). The SST elicited increases in PP (P < 0.01), apical LV rotation (P < 0.01) and carotid shear rate (P < 0.01), with no changes in CALM (P > 0.05). Likewise, the CPT elicited increases in PP (P = 0.01), basal LV rotation (P = 0.04) and carotid shear rate (P = 0.01), with no changes in CALM (P > 0.05). Conversely, exposure to NTG elicited no change in PP (P = 0.22), basal (P = 0.65) or apical LV rotation (P = 0.45), but did decrease carotid shear rate (P < 0.01), without altering CALM (P > 0.05). Considerable individual variability in CALM responses prompted further analyses where all three interventions were pooled for change scores. Changes in LV basal rotation were related to changes in systolic retrograde CALM (B = −0.025, P = 0.03), whereas changes in carotid shear rate were related to changes in diastolic CALM displacement (B = 0.0009, P = 0.01). The interventions were underpinned by relationships between CALM and both LV basal rotation and local shear rate at the individual level, indicating that cardiac and haemodynamic factors may influence CALM in humans. © 2017 The Authors. Experimental Physiology © 2017 The Physiological Society","arterial wall motion; echocardiography; speckle-tracking","Blood Pressure; Carotid Arteries; Hemodynamics; Humans; Male; Pulse Wave Analysis; Ventricular Function, Left; Young Adult; glyceryl trinitrate; adult; Article; cardiovascular response; carotid artery; carotid artery longitudinal wall motion; cold pressor test; exposure; health status; heart function; heart rate; heart ventricle wall motion; hemodynamics; human; human experiment; male; normal human; psychologic test; pulse pressure; pulse wave; regulatory mechanism; rotation; serial subtraction test; shear rate; sympathetic function; time series analysis; treatment outcome; vasodilatation; ventricular rotation; young adult; blood pressure; carotid artery; heart left ventricle function; hemodynamics; physiology; procedures; pulse wave","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85033440294"
"Carek A.M.; Inan O.T.","Carek, Andrew M. (56875427400); Inan, Omer T. (15753969900)","56875427400; 15753969900","A temperature-controlled glove with non-invasive arterial pulse sensing for active neuro-vascular assessment","2016","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","2016-October","","7590778","619","622","3","5","10.1109/EMBC.2016.7590778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009110329&doi=10.1109%2fEMBC.2016.7590778&partnerID=40&md5=c6c64a9d98d4d8330c99cf40d22fbf7c","A non-invasive, active neuro-vascular assessment system was developed using a modified temperature-controlled glove and feedback techniques. The glove incorporates local heating and cooling of the hand using multi-point skin temperature measurements as feedback, and thereby induces local and central mechanisms involved in thermoregulation. Electrocardiogram (ECG), photoplethysmogram (PPG) and non-invasive finger-cuff based blood pressure (BP) measurements were used to monitor electrophysiology and hemodynamic changes in response to temperature modulation. Then, the triggered neuro-vascular mechanisms associated with thermoregulation were quantified by extracting parameters from the measured waveforms, specifically heart rate variability (HRV), vascular tone, and BP. The system was tested on six young, healthy individuals with no history of microvascular diseases. During heating, vasodilation, decrease in systolic BP, and a decrease in parasympathetic tone were observed, while during cooling, vasoconstriction and increased BP were observed. While such changes are expected physiologically using passive experiments, the ability to modulate the physiology non-invasively with a controlled, quantitative, and inexpensive instrument can potentially enable serial assessments of neuro-vascular control outside of clinical settings. © 2016 IEEE.","","Blood Pressure; Heart Rate; Humans; Pulse Wave Analysis; Skin Temperature; Temperature; Vasoconstriction; blood pressure; heart rate; human; physiology; pulse wave; skin temperature; temperature; vasoconstriction","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85009110329"
"Kazimierska A.; Placek M.M.; Uryga A.; Wachel P.; Burzyńska M.; Kasprowicz M.","Kazimierska, Agnieszka (57203965247); Placek, Michał M. (57038754100); Uryga, Agnieszka (57213371110); Wachel, Paweł (16030128100); Burzyńska, Małgorzata (7801532331); Kasprowicz, Magdalena (6603068036)","57203965247; 57038754100; 57213371110; 16030128100; 7801532331; 6603068036","Assessment of Baroreflex Sensitivity Using Time-Frequency Analysis during Postural Change and Hypercapnia","2019","Computational and Mathematical Methods in Medicine","2019","","4875231","","","","8","10.1155/2019/4875231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062370046&doi=10.1155%2f2019%2f4875231&partnerID=40&md5=63fb0d17b14a7f590c41d0ef756050b9","Baroreflex is a mechanism of short-term neural control responsible for maintaining stable levels of arterial blood pressure (ABP) in an ABP-heart rate negative feedback loop. Its function is assessed by baroreflex sensitivity (BRS) - a parameter which quantifies the relationship between changes in ABP and corresponding changes in heart rate (HR). The effect of postural change as well as the effect of changes in blood O2 and CO2 have been the focus of multiple previous studies on BRS. However, little is known about the influence of the combination of these two factors on dynamic baroreflex response. Furthermore, classical methods used for BRS assessment are based on the assumption of stationarity that may lead to unreliable results in the case of mostly nonstationary cardiovascular signals. Therefore, we aimed to investigate BRS during repeated transitions between squatting and standing in normal end-tidal CO2 (EtCO2) conditions (normocapnia) and conditions of progressively increasing EtCO2 with a decreasing level of O2 (hypercapnia with hypoxia) using joint time and frequency domain (TF) approach to BRS estimation that overcomes the limitation of classical methods. Noninvasive continuous measurements of ABP and EtCO2 were conducted in a group of 40 healthy young volunteers. The time course of BRS was estimated from TF representations of pulse interval variability and systolic pressure variability, their coherence, and phase spectra. The relationship between time-variant BRS and indices of ABP and HR was analyzed during postural change in normocapnia and hypercapnia with hypoxia. In normocapnia, observed trends in all measures were in accordance with previous studies, supporting the validity of presented TF method. Similar but slightly attenuated response to postural change was observed in hypercapnia with hypoxia. Our results show the merits of the nonstationary methods as a tool to study the cardiovascular system during short-term hemodynamic changes. © 2019 Agnieszka Kazimierska et al.","","Adolescent; Adult; Algorithms; Arterial Pressure; Baroreflex; Blood Pressure; Carbon Dioxide; Female; Healthy Volunteers; Heart Rate; Hemodynamics; Humans; Hypercapnia; Hypocapnia; Hypoxia; Male; Oxygen; Posture; Signal Processing, Computer-Assisted; Systole; Young Adult; Blood; Blood pressure; Carbon dioxide; Feedback; Frequency domain analysis; Heart; carbon dioxide; oxygen; Arterial blood pressure; Baroreflex sensitivities; Cardiovascular signals; Continuous measurements; Hemodynamic changes; Negative feedback loop; Time and frequency domains; Time frequency analysis; adult; arterial pressure; Article; body position; breathing rate; chemoreceptor reflex; end tidal carbon dioxide tension; female; frequency analysis; hemodynamics; human; hypercapnia; male; normal human; orthostatic stress; physical parameters; plethysmography; pressoreceptor reflex; sensitivity analysis; sitting; time frequency analysis; adolescent; algorithm; blood pressure; chemistry; heart rate; hypercapnia; hypocapnia; hypoxia; pathophysiology; signal processing; systole; young adult; Frequency estimation","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85062370046"
"Konur H.; Erdogan Kayhan G.; Toprak H.I.; Bucak N.; Aydogan M.S.; Yologlu S.; Durmus M.; Yılmaz S.","Konur, Huseyin (36573686200); Erdogan Kayhan, Gulay (22956895300); Toprak, Huseyin Ilksen (55666804700); Bucak, Nizamettin (55266452000); Aydogan, Mustafa Said (47460989500); Yologlu, Saim (6604070029); Durmus, Mahmut (34569135700); Yılmaz, Sezai (7102264810)","36573686200; 22956895300; 55666804700; 55266452000; 47460989500; 6604070029; 34569135700; 7102264810","Evaluation of pleth variability index as a predictor of fluid responsiveness during orthotopic liver transplantation","2016","Kaohsiung Journal of Medical Sciences","32","7","","373","380","7","9","10.1016/j.kjms.2016.05.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977470376&doi=10.1016%2fj.kjms.2016.05.014&partnerID=40&md5=9c554e14389e5bf5b0f6f32c7f8e70da","Fluid management is challenging and still remains controversial in orthotopic liver transplantation (OLT). The pleth variability index (PVI) has been shown to be a reliable predictor of fluid responsiveness of perioperative and critically ill patients; however, it has not been evaluated in OLT. This study was designed to examine whether the PVI can reliably predict fluid responsiveness in OLT and to compare PVI with other hemodynamic indexes that are measured using the PiCCO2 monitoring system. Twenty-five patients were enrolled in this study. Each patient was monitored using the noninvasive Masimo and PiCCO2 monitoring system. PVI was obtained with a Masimo pulse oximeter. Cardiac index was obtained using a transpulmonary thermodilution technique (CITPTD). Stroke volume variation (SVV), pulse pressure variation, and systemic vascular resistance index were measured using the PiCCO2 system. Fluid loading (10 mL/kg colloid) was performed at two different phases during the operation, and fluid responsiveness was defined as an increase in CITPTD ≥ 15%. During the dissection phase and the anhepatic phase, respectively, 14 patients (56%) and 18 patients (75%) were classified as responders. There were no differences between the baseline values of the PVI of responders and nonresponders. Area under the curve for PVI was 0.56 (sensitivity 35%, specificity 90%, p = 0.58) at dissection phase, and was 0.55 (sensitivity 55%, specificity 66%, p = 0.58) at anhepatic phase. Of the parameters, a higher area under the curve value was found for SVV. We conclude that PVI was unable to predict fluid responsiveness with sufficient accuracy in patients undergoing OLT, but the SVV parameter was reliable. © 2016","Fluid responsiveness; Liver transplantation; Pleth variability index","Blood Pressure; Demography; Female; Fluid Therapy; Hemodynamics; Humans; Liver Transplantation; Male; Middle Aged; Plethysmography; ROC Curve; Stroke Volume; dopamine; fresh frozen plasma; human albumin; noradrenalin; adult; Article; clinical article; female; fiberoptic oximeter catheter; fluid therapy; heart index; heart stroke volume; human; liver failure; liver transplantation; male; Model For End Stage Liver Disease Score; parameters; pleth variability index; pulse oximeter; pulse pressure; sensitivity and specificity; systemic vascular resistance; thermodilution; blood pressure; demography; evaluation study; hemodynamics; middle aged; plethysmography; receiver operating characteristic","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84977470376"
"Kim D.-H.; Shin S.; Kim J.Y.; Kim S.H.; Jo M.; Choi Y.S.","Kim, Do-Hyeong (57203251438); Shin, Seokyung (25936911100); Kim, Ji Young (56384721100); Kim, Seung Hyun (58105863600); Jo, Minju (57202923433); Choi, Yong Seon (15076889100)","57203251438; 25936911100; 56384721100; 58105863600; 57202923433; 15076889100","Pulse pressure variation and pleth variability index as predictors of fluid responsiveness in patients undergoing spinal surgery in the prone position","2018","Therapeutics and Clinical Risk Management","14","","","1175","1183","8","18","10.2147/TCRM.S170395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049846445&doi=10.2147%2fTCRM.S170395&partnerID=40&md5=716161c8bc484f459f3753d5faecbb3b","Background: This study investigated the ability of pulse pressure variation (PPV) and pleth variability index (PVI) to predict fluid responsiveness of patients undergoing spinal surgery in the prone position. Patients and methods: A total of 53 patients undergoing posterior lumbar spinal fusion in the prone position on a Jackson table were studied. PPV, PVI, and hemodynamic and respiratory variables were measured both before and after the administration of 6 mL/kg colloid in both the supine and prone positions. Fluid responsiveness was defined as a 15% or greater increase in stroke volume index, as assessed by esophageal Doppler monitor after fluid loading. Results: In the supine position, 40 patients were responders. The areas under the receiver operating characteristic (ROC) curves for PPV and PVI were 0.783 [95% CI 0.648–0.884, P<0.001] and 0.814 (95% CI 0.684–0.908, P<0.001), respectively. The optimal cut-off values of PPV and PVI were 10% (sensitivity 75%, specificity 62%) and 8% (sensitivity 78%, specificity 77%), respectively. In the prone position, 27 patients were responders. The areas under the ROC curves for PPV and PVI were 0.781 (95% CI 0.646–0.883, P<0.001) and 0.756 (95% CI 0.618–0.863, P<0.001), respectively. The optimal cut-off values of PPV and PVI were 7% (sensitivity 82%, specificity 62%) and 8% (sensitivity 67%, specificity 69%), respectively. Conclusion: Both PPV and PVI were able to predict fluid responsiveness; their predictive abilities were maintained in the prone position. © 2018 Kim et al.","Fluid therapy; Intraoperative monitoring; Prone position; Stroke volume","adult; article; colloid; controlled study; female; fluid therapy; heart stroke volume; human; intraoperative monitoring; lumbar region; major clinical study; male; prone position; pulse pressure; receiver operating characteristic; sensitivity and specificity; spine fusion; supine position","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85049846445"
